"YearStart","YearEnd","Race/Ethnicity","Sample_Size"
"2019","2019","Other, non-Latinx","114.0"
"2019","2019","White, non-Latinx","6308.0"
"2019","2019","Black, non-Latinx","1304.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx","98.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","71.0"
"2019","2019","Other, non-Latinx","483.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","10773.0"
"2019","2019","Other, non-Latinx","76.0"
"2019","2019","Black, non-Latinx","185.0"
"2019","2019","Black, non-Latinx","955.0"
"2019","2019","Black, non-Latinx","589.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Latinx","465.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","135.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","177.0"
"2019","2019","Other, non-Latinx","50.0"
"2019","2019","Asian, non-Latinx","143.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","137.0"
"2019","2019","White, non-Latinx","5669.0"
"2019","2019","Asian, non-Latinx","312.0"
"2019","2019","Other, non-Latinx","81.0"
"2019","2019","White, non-Latinx","3868.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","203.0"
"2019","2019","Asian, non-Latinx","72.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx","81.0"
"2019","2019","Latinx","365.0"
"2019","2019","Other, non-Latinx","194.0"
"2019","2019","Latinx","1302.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","204.0"
"2019","2019","Other, non-Latinx","50.0"
"2019","2019","Other, non-Latinx","109.0"
"2019","2019","White, non-Latinx","5245.0"
"2019","2019","Other, non-Latinx","92.0"
"2019","2019","Latinx","522.0"
"2019","2019","Black, non-Latinx","495.0"
"2019","2019","Other, non-Latinx","65.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","58.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx",""
"2019","2019","White, non-Latinx","8715.0"
"2019","2019","Other, non-Latinx","83.0"
"2019","2019","Other, non-Latinx","51.0"
"2019","2019","Black, non-Latinx","575.0"
"2019","2019","Latinx","132.0"
"2019","2019","Other, non-Latinx","438.0"
"2019","2019","Other, non-Latinx","51.0"
"2019","2019","White, non-Latinx","3633.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","3456.0"
"2019","2019","White, non-Latinx","5520.0"
"2019","2019","Latinx","1750.0"
"2019","2019","Other, non-Latinx","68.0"
"2019","2019","Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","783.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","92.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx","62.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Latinx","173.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","2100.0"
"2019","2019","Other, non-Latinx","75.0"
"2019","2019","Latinx","75.0"
"2019","2019","Other, non-Latinx","122.0"
"2019","2019","White, non-Latinx","4468.0"
"2019","2019","Other, non-Latinx","94.0"
"2019","2019","Other, non-Latinx","209.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx","82.0"
"2019","2019","White, non-Latinx","5901.0"
"2019","2019","Latinx","1424.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","62.0"
"2019","2019","Asian, non-Latinx","96.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","1149.0"
"2019","2019","Other, non-Latinx","71.0"
"2019","2019","Other, non-Latinx","447.0"
"2019","2019","Black, non-Latinx","1269.0"
"2019","2019","Other, non-Latinx","73.0"
"2019","2019","Asian, non-Latinx","205.0"
"2019","2019","Asian, non-Latinx","7321.0"
"2019","2019","Other, non-Latinx","108.0"
"2019","2019","Other, non-Latinx","147.0"
"2019","2019","Asian, non-Latinx","125.0"
"2019","2019","Other, non-Latinx","111.0"
"2019","2019","White, non-Latinx","5211.0"
"2019","2019","Latinx","353.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","761.0"
"2019","2019","Other, non-Latinx","51.0"
"2019","2019","Asian, non-Latinx","605.0"
"2019","2019","Other, non-Latinx","89.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","110.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","60.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","600.0"
"2019","2019","White, non-Latinx","5636.0"
"2019","2019","Black, non-Latinx","206.0"
"2019","2019","Latinx","386.0"
"2019","2019","Other, non-Latinx","140.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","127.0"
"2019","2019","Latinx","813.0"
"2019","2019","Other, non-Latinx","313.0"
"2019","2019","White, non-Latinx","7914.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","124.0"
"2019","2019","Asian, non-Latinx","2070.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Black, non-Latinx","1346.0"
"2019","2019","Latinx","2550.0"
"2019","2019","Other, non-Latinx","61.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","52.0"
"2019","2019","Black, non-Latinx","92.0"
"2019","2019","Black, non-Latinx","366.0"
"2019","2019","White, non-Latinx","12331.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","White, non-Latinx","4300.0"
"2019","2019","Other, non-Latinx","107.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx",""
"2019","2019","Black, non-Latinx","1078.0"
"2019","2019","White, non-Latinx","1647.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","1950.0"
"2019","2019","Black, non-Latinx","140.0"
"2019","2019","White, non-Latinx","3998.0"
"2019","2019","Other, non-Latinx","161.0"
"2019","2019","Other, non-Latinx","147.0"
"2019","2019","Latinx","60.0"
"2019","2019","Latinx","393.0"
"2019","2019","Black, non-Latinx","568.0"
"2019","2019","Asian, non-Latinx","415.0"
"2019","2019","Other, non-Latinx","80.0"
"2019","2019","Latinx","632.0"
"2019","2019","Other, non-Latinx","111.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","620.0"
"2019","2019","Other, non-Latinx","193.0"
"2019","2019","Asian, non-Latinx","83.0"
"2019","2019","Other, non-Latinx","51.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","183.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Latinx","151.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","55.0"
"2019","2019","Latinx","5743.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Black, non-Latinx","83.0"
"2019","2019","Latinx","1109.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","1354.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","123.0"
"2019","2019","Black, non-Latinx","1353.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","147.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","10467.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","White, non-Latinx","287685.0"
"2019","2019","Other, non-Latinx","54.0"
"2019","2019","Other, non-Latinx","70.0"
"2019","2019","Black, non-Latinx",""
"2019","2019","Black, non-Latinx","148.0"
"2019","2019","Asian, non-Latinx","2161.0"
"2019","2019","Latinx","2881.0"
"2019","2019","Black, non-Latinx","987.0"
"2019","2019","White, non-Latinx","4189.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","257.0"
"2019","2019","Asian, non-Latinx","66.0"
"2019","2019","Latinx","1109.0"
"2019","2019","Black, non-Latinx","753.0"
"2019","2019","Other, non-Latinx","111.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","199.0"
"2019","2019","Other, non-Latinx","304.0"
"2019","2019","Black, non-Latinx","443.0"
"2019","2019","Other, non-Latinx","80.0"
"2019","2019","Other, non-Latinx","99.0"
"2019","2019","Latinx","173.0"
"2019","2019","Latinx","2667.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","90.0"
"2019","2019","Latinx","599.0"
"2019","2019","Other, non-Latinx","61.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx","61.0"
"2019","2019","Latinx","2720.0"
"2019","2019","Other, non-Latinx","53.0"
"2019","2019","Latinx","135.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","113.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","469.0"
"2019","2019","Other, non-Latinx","228.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","122.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","117.0"
"2019","2019","White, non-Latinx","2357.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","389.0"
"2019","2019","White, non-Latinx","8602.0"
"2019","2019","Asian, non-Latinx","184.0"
"2019","2019","Black, non-Latinx","372.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","5039.0"
"2019","2019","Other, non-Latinx","121.0"
"2019","2019","White, non-Latinx","4322.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx","380.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","69.0"
"2019","2019","Latinx","95.0"
"2019","2019","Black, non-Latinx","719.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","508.0"
"2019","2019","Asian, non-Latinx","178.0"
"2019","2019","Black, non-Latinx","1694.0"
"2019","2019","Other, non-Latinx","136.0"
"2019","2019","Other, non-Latinx","94.0"
"2019","2019","Latinx","245.0"
"2019","2019","Black, non-Latinx","706.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","136.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","556.0"
"2019","2019","Black, non-Latinx","1310.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","9408.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","7158.0"
"2019","2019","Other, non-Latinx","454.0"
"2019","2019","Other, non-Latinx","307.0"
"2019","2019","Asian, non-Latinx","74.0"
"2019","2019","Asian, non-Latinx",""
